"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.71,1.19,21,3.05,2.11,21,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.1,1.22,21,5.19,2.02,21,NA,NA,NA,NA,NA,NA
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Specific Test - Total Score","NO - Not standardized",5.81,2.18,21,8.24,3.86,21,NA,NA,NA,NA,NA,NA
232,"Chan， 1996","142","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT","142_1","142_1Tm","T","m","1","SUAT - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.18,2.6,11,8.18,1.72,11,"6.64",3.11,11,1,NA,NA
233,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_1","142_1Tm","T","m","2","SIAT - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.38,2.5,9,4.88,3.52,9,"5.13",2.48,9,1,NA,NA
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_1","142_1m",NA,"m","ctl","ST - poor readers","7","Secondary",13,1,NA,1,NA,0.675,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",4.44,2.92,9,4.56,2.01,9,"#",2.35,9,1,NA,NA
236,"Chan， 1996","142","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT","142_2","142_2Tm","T","m","1","SUAT - ave. readers","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",7.94,2.78,18,9.56,2.33,18,"7.33",1.75,18,1,NA,NA
237,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_2","142_2Tm","T","m","2","SIAT - ave. readers","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",7.91,2.12,11,9.73,1.62,11,"6.64",1.91,11,1,NA,NA
239,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142_2","142_2m",NA,"m","ctl","ST - ave. readers","7","Secondary",13,0,NA,1,NA,0.517857142857143,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported","reading comprehension","NO - Not standardized",8.2,1.97,15,8.8,2.01,15,"8.07",2.58,15,1,NA,NA
240,"Burke, 1992","143","USA","USA","English","English","School Environment","disseration","RCT","143","143Nm","N","m","1","Stra + Att, Teacher1","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",8.2,3.302,50.75,7.65,2.681,50.75,"9",3.27,50.75,2,NA,NA
241,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143","143NGTm","NGT","m","2","Stra only, Teacher1","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",7.5,2.686,50.75,7.455,3.035,50.75,"10.71",2.36,50.75,2,NA,NA
243,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143","143bau",NA,NA,"ctl","Control, Teacher1","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",8.316,2.286,50.75,6.947,2.677,50.75,"8.58",2.53,50.75,2,NA,NA
244,"Burke, 1992","143","USA","USA","English","English","School Environment","disseration","RCT","143","143Nm","N","m","1","Stra + Att, Teacher2","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",9.381,2.991,50.75,8.476,3.444,50.75,"9.3800000000000008",3.46,50.75,2,NA,NA
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143","143GTm","GT","m","2","Stra only, Teacher2","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",8.739,3.208,50.75,8.565,2.967,50.75,"9.64",2.9,50.75,2,NA,NA
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143","143bau",NA,NA,"ctl","Control, Teacher2","8","Secondary",13.5,0,"0",0.42,NA,NA,NA,"No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported","General Comprehension Scores","NO - Not standardized",7.44,3.28,50.75,10.48,11.106,50.75,"8.81",3.61,50.75,2,NA,NA
257,"Mete, 2020","145","Turky","non-USA","Turkish","non-English","School Environment","peer reviewed paper","QED","145","145NGm","NG","m","1","experimental REM","6","Secondary",11.5,NA,NA,NA,NA,0.387,NA,"No / Not reported","classroom/ large group","Research Staff",2160,36,60,"Not reported","reading comprehension achievement test (RCAT)","NO - Not standardized",52.09,20.9,31,57.9,18.7,31,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,"145","145bau",NA,NA,"ctl","control","6","Secondary",11.5,NA,NA,NA,NA,0.5807,NA,NA,NA,NA,NA,NA,NA,NA,"reading comprehension achievement test (RCAT)","NO - Not standardized",56.77,14.3,31,56.93,15.8,31,NA,NA,NA,NA,NA,NA
259,"Souvignier & Mokhlesgerami, 2006","146","Germany","non-USA","German","non-English","School Environment","peer reviewed paper","QED","146","146NVGTm","NVGT","m","1","Strat + CSR + MSR","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA,"Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported","Reading comprehension","YES - standardized",5.69,2.59,95,7.65,2.08,95,"10.49",1.71,95,6,NA,NA
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146","146NVm","NV","m","2","Strat + CSR","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA,"Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported","Reading comprehension","YES - standardized",5.76,2.73,146,7.26,1.78,146,"10.119999999999999",1.95,146,6,NA,NA
261,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146","146m",NA,"m","3","Strat","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA,"Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported","Reading comprehension","YES - standardized",5.97,2.59,89,7.89,2.13,89,"11.02",1.57,89,6,NA,NA
262,NA,NA,NA,NA,NA,NA,NA,NA,NA,"146","146bau",NA,NA,"ctl","Control","5","Elementary",11,NA,NA,NA,NA,0.499156829679595,NA,NA,NA,NA,NA,NA,NA,NA,"Reading comprehension","YES - standardized",5.13,2.58,84,7.15,2.03,84,"9.36",2.39,84,6,NA,NA
263,"Schünemann et al., 2013","147","Germany","non-USA","German","non-English","School Environment","peer reviewed paper","QED","147","147m",NA,"m","ctl","Comparison","5","Elementary",11.7,NA,NA,NA,0,0.435483870967742,NA,NA,NA,NA,NA,NA,NA,NA,"FLVT Reading comprehension","YES - standardized",50.2,8.22,62,49.32,7.05,127,"50.33",7.49,117,2,NA,NA
264,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147","147NVm","NV","m","1","RT","5","Elementary",11.05,NA,NA,NA,0,0.47244094488189,NA,"No / Not reported","classroom/ large group","Research Staff",630,14,45,"Reported","FLVT Reading comprehension","YES - standardized",49.76,8.93,62,49.99,9.02,127,"50.61",9.55,117,2,NA,NA
265,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147","147NVGTm","NVGT","m","2","RT + SRL","5","Elementary",11.02,NA,NA,NA,0,0.478632478632479,NA,"No / Not reported","classroom/ large group","Research Staff",630,14,45,"Reported","FLVT Reading comprehension","YES - standardized",48.75,7.91,62,52.14,8.93,127,"53.73",9.19,117,2,NA,NA
266,"Spörer & Schünemann, 2014","148","Germany","non-USA","German","non-English","School Environment","peer reviewed paper","QED","148","148Nm","N","m","ctl","RT","5","Elementary",10.48,NA,NA,NA,0.0075187969924812,0.586466165413534,NA,"No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported","FLVT 5-6 Reading Comprehension","YES - standardized",49.31,8.22,133,50.43,8.08,133,"50.53",8.87,133,2,0.61,0.71
267,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148","148NVGm","NVG","m","1","RT + SIP (pretest sig.)","5","Elementary",10.57,NA,NA,NA,0.0387596899224806,0.496124031007752,NA,"No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported","FLVT 5-6 Reading Comprehension","YES - standardized",50.81,9.19,129,52.18,7.95,129,"54.3",8.79,129,2,0.61,0.71
268,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148","148NVGm","NVG","m","2","RT + ORP","5","Elementary",10.6,NA,NA,NA,0.0158730158730159,0.563492063492063,NA,"No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported","FLVT 5-6 Reading Comprehension","YES - standardized",48.57,12.32,126,52.41,9.43,126,"52.56",10.25,126,2,0.61,0.71
269,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148","148NGm","NG","m","3","RT + SRL","5","Elementary",10.55,NA,NA,NA,0.0273972602739726,0.575342465753425,NA,"No / Not reported","classroom/ large group","Research Staff",630,45,14,"Reported","FLVT 5-6 Reading Comprehension","YES - standardized",48.54,8.87,146,50.65,8.4,146,"51.65",7.43,146,2,0.61,0.71
270,"Mason, 2004","149","USA","USA","English","English","School Environment","peer reviewed paper","RCT","149","149NGm","NG","m","1","TWA + SRL","5","Elementary",10.7583333333333,1,"0.1875",0.75,NA,0.5,0.875,"No / Not reported","small group (3–7 students)","Research Staff",260,13,20,"Reported","(immediate) 1. Main idea","NO - Not standardized",2.5,1.83,16,4.38,1.18,16,NA,NA,NA,NA,NA,NA
271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 2. Summary","NO - Not standardized",2.94,1.77,16,5.06,1.81,16,NA,NA,NA,NA,NA,NA
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,4.06,0.93,16,NA,NA,NA,NA,NA,NA
273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,6.63,2.96,16,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,3.25,0.86,16,NA,NA,NA,NA,NA,NA
275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 6. Written retell quality","NO - Not standardized",2.75,1,16,3,0.89,16,NA,NA,NA,NA,NA,NA
276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,3.63,2.06,16,NA,NA,NA,NA,NA,NA
277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,2.75,1.44,16,NA,NA,NA,NA,NA,NA
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 1. Main idea","NO - Not standardized",2.5,1.83,16,4.13,1.55,16,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 2. Summary","NO - Not standardized",2.94,1.77,16,4.67,1.59,16,NA,NA,NA,NA,NA,NA
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,3.87,1.25,16,NA,NA,NA,NA,NA,NA
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,4.8,1.7,16,NA,NA,NA,NA,NA,NA
282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,2.27,1.1,16,NA,NA,NA,NA,NA,NA
283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 6. Written retell quality","NO - Not standardized",2.75,1,16,3.87,1.07,16,NA,NA,NA,NA,NA,NA
284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,3.96,1.7,16,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,2.78,1.4,16,NA,NA,NA,NA,NA,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149","149Nm","N","m","ctl","RQ (reciprocal)","5","Elementary",10.485,1,"0.125",0.75,NA,0.4375,0.9375,"No / Not reported","small group (3–7 students)","Research Staff",260,13,20,"Reported","(immediate) 1. Main idea","NO - Not standardized",2.19,1.52,16,1.88,1.2,16,NA,NA,NA,NA,NA,NA
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 2. Summary","NO - Not standardized",3.88,1.93,16,4.19,1.68,16,NA,NA,NA,NA,NA,NA
288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 3. Oral retell quality","NO - Not standardized",3.06,1.24,16,3,0.89,16,NA,NA,NA,NA,NA,NA
289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 4. Oral retell information units","NO - Not standardized",4,2,16,4.5,2.07,16,NA,NA,NA,NA,NA,NA
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 5. Oral retell main ideas","NO - Not standardized",2.44,0.96,16,2.56,0.96,16,NA,NA,NA,NA,NA,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 6. Written retell quality","NO - Not standardized",3,1.03,16,3.19,1.28,16,NA,NA,NA,NA,NA,NA
292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 7. Written retell information units","NO - Not standardized",4.06,2.08,16,3.69,2.5,16,NA,NA,NA,NA,NA,NA
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(immediate) 8. Written retell main ideas","NO - Not standardized",2.07,1.12,16,2.63,1.26,16,NA,NA,NA,NA,NA,NA
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 1. Main idea","NO - Not standardized",2.19,1.52,16,2.4,1.35,16,NA,NA,NA,NA,NA,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 2. Summary","NO - Not standardized",3.88,1.93,16,3.93,1.62,16,NA,NA,NA,NA,NA,NA
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 3. Oral retell quality","NO - Not standardized",3.06,1.24,16,3.33,1.29,16,NA,NA,NA,NA,NA,NA
297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 4. Oral retell information units","NO - Not standardized",4,2,16,3.6,2.41,16,NA,NA,NA,NA,NA,NA
298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 5. Oral retell main ideas","NO - Not standardized",2.44,0.96,16,1.53,1.36,16,NA,NA,NA,NA,NA,NA
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 6. Written retell quality","NO - Not standardized",3,1.03,16,3.35,1.35,16,NA,NA,NA,NA,NA,NA
300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 7. Written retell information units","NO - Not standardized",4.06,2.08,16,3.35,1.61,16,NA,NA,NA,NA,NA,NA
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3 week) 8. Written retell main ideas","NO - Not standardized",2.07,1.12,16,2.59,1.36,16,NA,NA,NA,NA,NA,NA
302,"Cirino et al., 2017","150","USA","USA","English","English","School Environment","peer reviewed paper","RCT","150","150bau",NA,NA,"ctl","Control","4","Elementary",10.02,1,NA,NA,0,0.4815,0.9259,NA,NA,NA,NA,NA,NA,NA,"Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.49,0.23,27,NA,NA,NA,NA,NA,NA
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150","150cm",NA,"cm","1","TB","4","Elementary",10.22,1,NA,NA,0,0.625,1,"No / Not reported","small group (3–7 students)","Research Staff",533.96,15,35.5973333333333,"Reported","Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.47,0.23,24,NA,NA,NA,NA,NA,NA
304,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150","150Gcm","G","cm","2","TB + EF","4","Elementary",10.32,1,NA,NA,0,0.7917,0.9167,"No / Not reported","small group (3–7 students)","Research Staff",550.13,14.73,37.3475899524779,"Reported","Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.5,0.27,24,NA,NA,NA,NA,NA,NA
305,"Nelson, 2005","151","USA","USA","English","English","School Environment","disseration","RCT","151","151NVGm","NVG","m","1","Guided Reading","4,5,6,7,8","Secondary",11.5,1,"0.05",NA,0,0.75,NA,"No / Not reported","small group (3–7 students)","Research Staff",1200,20,60,"Reported","Retell Quality","NO - Not standardized",1.5,1.1,9,2.9,1.4,9,NA,NA,NA,NA,NA,NA
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retell Main Idea","NO - Not standardized",0.5,0.4,9,0.9,0.5,9,NA,NA,NA,NA,NA,NA
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple Choice","NO - Not standardized",5.2,1.8,9,6.2,2.2,9,NA,NA,NA,NA,NA,NA
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WJ Passage Comprehension","YES - standardized",79.2,7.5,9,78.7,8.7,9,NA,NA,NA,NA,NA,NA
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,"151","151Nm","N","m","ctl","Explicit Comp. Proc","4,5,6,7,8","Secondary",11.75,1,"0.05",NA,0,0.75,NA,"No / Not reported","small group (3–7 students)","Research Staff",1200,20,60,"Reported","Retell Quality","NO - Not standardized",1.6,1.2,9,4.2,1.3,9,NA,NA,NA,NA,NA,NA
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retell Main Idea","NO - Not standardized",0.6,0.6,9,1.4,0.4,9,NA,NA,NA,NA,NA,NA
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multiple Choice","NO - Not standardized",5.8,1.9,9,7.4,2.7,9,NA,NA,NA,NA,NA,NA
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WJ Passage Comprehension","YES - standardized",70.3,17.4,9,75.6,14.5,9,NA,NA,NA,NA,NA,NA
313,"Young et al., 2019","152","USA","USA","English","English","School Environment","peer reviewed paper","QED","152","152Nm","N","m","1","Treatment","2","Elementary",7.5,0.4,"0.05",NA,0.21,0.47,NA,"No / Not reported","classroom/ large group","School Staff",2025,90,22.5,"Reported","GMRT-4 Comprehension","YES - standardized",19.74,10.05,38,28.37,6.9,38,NA,NA,NA,NA,NA,NA
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152","152m",NA,"m","ctl","Control","2","Elementary",7.5,0.45,"0.03",NA,0.18,0.53,NA,NA,NA,NA,NA,NA,NA,NA,"GMRT-4 Comprehension","YES - standardized",23.16,8,38,26.5,7.28,38,NA,NA,NA,NA,NA,NA
315,"Young et al., 2020","153","USA","USA","English","English","School Environment","peer reviewed paper","QED","153","153Nm","N","m","1","Treatment (n = 23)","2","Elementary",7.5,0.6,"0.05",NA,0.12,1,NA,"No / Not reported","classroom/ large group","School Staff",2250,90,25,"Reported","GMRT-4 Comprehension","YES - standardized",17.78,8.27,23,28.09,7.35,23,NA,NA,NA,NA,NA,NA
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153","153m",NA,"m","ctl","Comparison (n = 23)","2","Elementary",7.5,0.6,"0.14000000000000001",NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,"GMRT-4 Comprehension","YES - standardized",18.61,7.02,23,22.61,6.45,23,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
