"id_sample","id_condition","cat_condition_type","id_es","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
"127_7","127_7m","ctl","161","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",508.19,32.15,53,515.25,27.47,53,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",515.45,27.74,56,509.12,31.63,56,NA,NA,NA,NA,NA,NA
"127_8","127_8m","ctl","163","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",521.79,23.65,55,506.16,30.25,55,NA,NA,NA,NA,NA,NA
"128","128NVcm","1","164","Informational text comprehension","NO - Not standardized",54.06,15.41,269,56.94,16.7,269,NA,NA,NA,NA,NA,NA
"128","128m","ctl","165","Informational text comprehension","NO - Not standardized",53.19,14.1,288,53.6,17.55,288,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","166","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,13.52,2.77,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","167","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,6,1.62,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","168","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,7.42,1.54,48,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","169","Past achievement (pretest ONLY, BOY)","NO - Not standardized",5.77,2.56,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1Nm","1","170","Literacy level (pretest ONLY, BOY)","NO - Not standardized",2.87,1.2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","171","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,13.73,2.45,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","172","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,6.46,1.41,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","173","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,7.02,1.87,42,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","174","Past achievement (pretest ONLY, BOY)","NO - Not standardized",6.51,2.6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_1","129_1m","ctl","175","Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.23,1.49,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","176","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,14.61,2.67,40,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","177","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,5.9,1.61,40,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","178","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,8.71,1.47,40,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","179","Past achievement (pretest ONLY, BOY)","NO - Not standardized",7.06,2.56,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_2","129_2Nm","1","180","Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.31,1.49,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_2","129_2m","ctl","181","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,13.61,1.98,42,NA,NA,NA,NA,NA,NA
"129_2","129_2m","ctl","182","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,4.67,1.44,42,NA,NA,NA,NA,NA,NA
"129_2","129_2m","ctl","183","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,8.65,1.51,42,NA,NA,NA,NA,NA,NA
"129_2","129_2m","ctl","184","Past achievement (pretest ONLY, BOY)","NO - Not standardized",6.65,1.87,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129_2","129_2m","ctl","185","Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.35,0.89,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","130Nm","1","186","reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",12.73,4.38,40,13.77,4.94,40,NA,NA,NA,NA,NA,NA
"130","130bau","ctl","187","reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",13.14,4.52,50,11.96,5.32,50,NA,NA,NA,NA,NA,NA
"131","131Vm","1","188","comprehension skill test","NO - Not standardized",4.5,2.7,10,6.3,3.1,10,NA,NA,NA,NA,NA,NA
"131","131Vm","2","189","comprehension skill test","NO - Not standardized",4.5,2.8,10,6.2,4.9,10,NA,NA,NA,NA,NA,NA
"131","131Vm","3","190","comprehension skill test","NO - Not standardized",4.9,1.9,10,11.2,4.9,10,NA,NA,NA,NA,NA,NA
"131","131m","ctl","191","comprehension skill test","NO - Not standardized",4.3,2.2,10,6.3,2.5,10,NA,NA,NA,NA,NA,NA
"132","132Vm","1","192","comprehension skill test","NO - Not standardized",4.5,2,10,8.1,2.6,10,NA,NA,NA,NA,NA,NA
"132","132Tm","ctl","193","comprehension skill test","NO - Not standardized",5.9,2.3,10,7.7,3.1,10,NA,NA,NA,NA,NA,NA
"132","132VTm","2","194","comprehension skill test","NO - Not standardized",5.5,1.5,10,13.5,2.3,10,NA,NA,NA,NA,NA,NA
"133","133NGc","1","195","Passage Comprehension (SRI)","YES - standardized",7.75,2.41,12,7.75,2.56,12,NA,NA,NA,NA,NA,NA
"133","133c","ctl","196","Passage Comprehension (SRI)","YES - standardized",8.25,2.41,12,8.5,2.28,12,NA,NA,NA,NA,NA,NA
"135","135NVGcm","1","199","Sentence Comprehension (SC)","YES - standardized",4.85,2.11,20,7.8,2.61,20,NA,NA,NA,NA,NA,NA
"135","135NVGcm","1","200","Passage Comprehension (PCO)","YES - standardized",7.65,2.5,20,12,4.44,20,NA,NA,NA,NA,NA,NA
"135","135NVGcm","1","201","* MAP composite","YES - standardized",186.2,11.12,20,195.79,6.9,20,201.17,7.17,20,12,NA,NA
"135","135m","ctl","202","Sentence Comprehension (SC)","YES - standardized",4.4,2.19,20,5.2,1.85,20,NA,NA,NA,NA,NA,NA
"135","135m","ctl","203","Passage Comprehension (PCO)","YES - standardized",8.5,3.02,20,7.8,4.7,20,NA,NA,NA,NA,NA,NA
"135","135m","ctl","204","* MAP composite","YES - standardized",185.47,9.02,20,188.94,9.4,20,199.33,8.58,20,12,NA,NA
"136","136m","1","205","comprehension skill test","NO - Not standardized",5.6,1.4,11,12.1,2.6,11,NA,NA,NA,NA,NA,NA
"136","136VTm","2","206","comprehension skill test","NO - Not standardized",5.4,1.2,11,10,1.9,11,NA,NA,NA,NA,NA,NA
"136","136VTm","3","207","comprehension skill test","NO - Not standardized",5.8,1.5,11,13.1,2.4,11,NA,NA,NA,NA,NA,NA
"136","136m","ctl","208","comprehension skill test","NO - Not standardized",5.5,3.2,11,7.1,2.1,11,NA,NA,NA,NA,NA,NA
"137","137Nm","1","209","comprehension skill test","NO - Not standardized",5.7,1.7,11,7.9,3.1,11,7.8,2.6,11,2.5,NA,NA
"137","137NVTm","2","210","comprehension skill test","NO - Not standardized",6.4,1.7,11,10.8,2.2,11,10.6,2.6,11,2.5,NA,NA
"137","137m","ctl","211","comprehension skill test","NO - Not standardized",6.5,2.9,11,7.2,3.3,11,7.5,2.8,11,2.5,NA,NA
"138","138Nm","1","212","PIRLS Read comprehension","NO - Not standardized",7.33,3.09,248,9.26,3.43,243,NA,NA,NA,NA,NA,NA
"138","138m","ctl","213","PIRLS Read comprehension","NO - Not standardized",6.93,2.96,293,9.62,3.41,291,NA,NA,NA,NA,NA,NA
"139","139NGTcm","1","214","GRADE Sentence Comprehension subtest","YES - standardized",2.55,0.93,14,2.36,1.03,14,NA,NA,NA,NA,NA,NA
"139","139cm","ctl","215","GRADE Sentence Comprehension subtest","YES - standardized",1.86,0.95,11,2.29,1.2,11,NA,NA,NA,NA,NA,NA
"140_1","140_1Ncm","1","216","Reading Comprehension Tests","NO - Not standardized",7.82,3.7,17,8.47,3.52,17,NA,NA,NA,NA,NA,NA
"140_1","140_1bau","ctl","217","Reading Comprehension Tests","NO - Not standardized",7.64,3.65,14,8,3.4,14,NA,NA,NA,NA,NA,NA
"140_2","140_2Ncm","1","218","Reading Comprehension Tests","NO - Not standardized",9.67,3.42,12,11.58,3.94,12,NA,NA,NA,NA,NA,NA
"140_2","140_2bau","ctl","219","Reading Comprehension Tests","NO - Not standardized",9.64,3.47,14,10.86,4.05,14,NA,NA,NA,NA,NA,NA
"141","141NTm","1","220","Main Idea Test","YES - standardized",3.82,1.31,22,7.39,2.17,22,NA,NA,NA,NA,NA,NA
"141","141NTm","1","221","Passage Specific Test - Passage Production Subtest","NO - Not standardized",2.14,1.36,22,3.41,1.99,22,NA,NA,NA,NA,NA,NA
"141","141NTm","1","222","Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.32,1.52,22,5.45,1.65,22,NA,NA,NA,NA,NA,NA
"141","141NTm","1","223","Passage Specific Test - Total Score","NO - Not standardized",6.45,2.24,22,8.86,3.39,22,NA,NA,NA,NA,NA,NA
"141","141Nm","2","224","Main Idea Test","YES - standardized",3.7,1.73,20,6.35,1.78,20,NA,NA,NA,NA,NA,NA
"141","141Nm","2","225","Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.55,1.4,20,3,2.18,20,NA,NA,NA,NA,NA,NA
"141","141Nm","2","226","Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.2,1.44,20,4.95,1.79,20,NA,NA,NA,NA,NA,NA
"141","141Nm","2","227","Passage Specific Test - Total Score","NO - Not standardized",5.75,2.2,20,7.95,3.76,20,NA,NA,NA,NA,NA,NA
"141","141cm","ctl","228","Main Idea Test","YES - standardized",3.79,1.61,21,4.93,1.55,21,NA,NA,NA,NA,NA,NA
"141","141cm","ctl","229","Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.71,1.19,21,3.05,2.11,21,NA,NA,NA,NA,NA,NA
"141","141cm","ctl","230","Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.1,1.22,21,5.19,2.02,21,NA,NA,NA,NA,NA,NA
"141","141cm","ctl","231","Passage Specific Test - Total Score","NO - Not standardized",5.81,2.18,21,8.24,3.86,21,NA,NA,NA,NA,NA,NA
"142_1","142_1Tm","1","232","reading comprehension","NO - Not standardized",4.18,2.6,11,8.18,1.72,11,6.64,3.11,11,1,NA,NA
"142_1","142_1Tm","2","233","reading comprehension","NO - Not standardized",4.38,2.5,9,4.88,3.52,9,5.13,2.48,9,1,NA,NA
"142_1","142_1m","ctl","235","reading comprehension","NO - Not standardized",4.44,2.92,9,4.56,2.01,9,NA,2.35,9,1,NA,NA
"142_2","142_2Tm","1","236","reading comprehension","NO - Not standardized",7.94,2.78,18,9.56,2.33,18,7.33,1.75,18,1,NA,NA
"142_2","142_2Tm","2","237","reading comprehension","NO - Not standardized",7.91,2.12,11,9.73,1.62,11,6.64,1.91,11,1,NA,NA
"142_2","142_2m","ctl","239","reading comprehension","NO - Not standardized",8.2,1.97,15,8.8,2.01,15,8.07,2.58,15,1,NA,NA
"143","143Nm","1","240","General Comprehension Scores","NO - Not standardized",8.2,3.302,50.75,7.65,2.681,50.75,9,3.27,50.75,2,NA,NA
"143","143NGTm","2","241","General Comprehension Scores","NO - Not standardized",7.5,2.686,50.75,7.455,3.035,50.75,10.71,2.36,50.75,2,NA,NA
"143","143bau","ctl","243","General Comprehension Scores","NO - Not standardized",8.316,2.286,50.75,6.947,2.677,50.75,8.58,2.53,50.75,2,NA,NA
"143","143Nm","1","244","General Comprehension Scores","NO - Not standardized",9.381,2.991,50.75,8.476,3.444,50.75,9.38,3.46,50.75,2,NA,NA
"143","143GTm","2","245","General Comprehension Scores","NO - Not standardized",8.739,3.208,50.75,8.565,2.967,50.75,9.64,2.9,50.75,2,NA,NA
"143","143bau","ctl","247","General Comprehension Scores","NO - Not standardized",7.44,3.28,50.75,10.48,11.106,50.75,8.81,3.61,50.75,2,NA,NA
"145","145NGm","1","257","reading comprehension achievement test (RCAT)","NO - Not standardized",52.09,20.9,31,57.9,18.7,31,NA,NA,NA,NA,NA,NA
"145","145bau","ctl","258","reading comprehension achievement test (RCAT)","NO - Not standardized",56.77,14.3,31,56.93,15.8,31,NA,NA,NA,NA,NA,NA
"146","146NVGTm","1","259","Reading comprehension","YES - standardized",5.69,2.59,95,7.65,2.08,95,10.49,1.71,95,6,NA,NA
"146","146NVm","2","260","Reading comprehension","YES - standardized",5.76,2.73,146,7.26,1.78,146,10.12,1.95,146,6,NA,NA
"146","146m","3","261","Reading comprehension","YES - standardized",5.97,2.59,89,7.89,2.13,89,11.02,1.57,89,6,NA,NA
"146","146bau","ctl","262","Reading comprehension","YES - standardized",5.13,2.58,84,7.15,2.03,84,9.36,2.39,84,6,NA,NA
"147","147m","ctl","263","FLVT Reading comprehension","YES - standardized",50.2,8.22,62,49.32,7.05,127,50.33,7.49,117,2,NA,NA
"147","147NVm","1","264","FLVT Reading comprehension","YES - standardized",49.76,8.93,62,49.99,9.02,127,50.61,9.55,117,2,NA,NA
"147","147NVGTm","2","265","FLVT Reading comprehension","YES - standardized",48.75,7.91,62,52.14,8.93,127,53.73,9.19,117,2,NA,NA
"148","148Nm","ctl","266","FLVT 5-6 Reading Comprehension","YES - standardized",49.31,8.22,133,50.43,8.08,133,50.53,8.87,133,2,0.61,0.71
"148","148NVGm","1","267","FLVT 5-6 Reading Comprehension","YES - standardized",50.81,9.19,129,52.18,7.95,129,54.3,8.79,129,2,0.61,0.71
"148","148NVGm","2","268","FLVT 5-6 Reading Comprehension","YES - standardized",48.57,12.32,126,52.41,9.43,126,52.56,10.25,126,2,0.61,0.71
"148","148NGm","3","269","FLVT 5-6 Reading Comprehension","YES - standardized",48.54,8.87,146,50.65,8.4,146,51.65,7.43,146,2,0.61,0.71
"149","149NGm","1","270","(immediate) 1. Main idea","NO - Not standardized",2.5,1.83,16,4.38,1.18,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","271","(immediate) 2. Summary","NO - Not standardized",2.94,1.77,16,5.06,1.81,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","272","(immediate) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,4.06,0.93,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","273","(immediate) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,6.63,2.96,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","274","(immediate) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,3.25,0.86,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","275","(immediate) 6. Written retell quality","NO - Not standardized",2.75,1,16,3,0.89,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","276","(immediate) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,3.63,2.06,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","277","(immediate) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,2.75,1.44,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","278","(3 week) 1. Main idea","NO - Not standardized",2.5,1.83,16,4.13,1.55,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","279","(3 week) 2. Summary","NO - Not standardized",2.94,1.77,16,4.67,1.59,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","280","(3 week) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,3.87,1.25,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","281","(3 week) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,4.8,1.7,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","282","(3 week) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,2.27,1.1,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","283","(3 week) 6. Written retell quality","NO - Not standardized",2.75,1,16,3.87,1.07,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","284","(3 week) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,3.96,1.7,16,NA,NA,NA,NA,NA,NA
"149","149NGm","1","285","(3 week) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,2.78,1.4,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","286","(immediate) 1. Main idea","NO - Not standardized",2.19,1.52,16,1.88,1.2,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","287","(immediate) 2. Summary","NO - Not standardized",3.88,1.93,16,4.19,1.68,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","288","(immediate) 3. Oral retell quality","NO - Not standardized",3.06,1.24,16,3,0.89,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","289","(immediate) 4. Oral retell information units","NO - Not standardized",4,2,16,4.5,2.07,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","290","(immediate) 5. Oral retell main ideas","NO - Not standardized",2.44,0.96,16,2.56,0.96,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","291","(immediate) 6. Written retell quality","NO - Not standardized",3,1.03,16,3.19,1.28,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","292","(immediate) 7. Written retell information units","NO - Not standardized",4.06,2.08,16,3.69,2.5,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","293","(immediate) 8. Written retell main ideas","NO - Not standardized",2.07,1.12,16,2.63,1.26,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","294","(3 week) 1. Main idea","NO - Not standardized",2.19,1.52,16,2.4,1.35,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","295","(3 week) 2. Summary","NO - Not standardized",3.88,1.93,16,3.93,1.62,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","296","(3 week) 3. Oral retell quality","NO - Not standardized",3.06,1.24,16,3.33,1.29,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","297","(3 week) 4. Oral retell information units","NO - Not standardized",4,2,16,3.6,2.41,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","298","(3 week) 5. Oral retell main ideas","NO - Not standardized",2.44,0.96,16,1.53,1.36,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","299","(3 week) 6. Written retell quality","NO - Not standardized",3,1.03,16,3.35,1.35,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","300","(3 week) 7. Written retell information units","NO - Not standardized",4.06,2.08,16,3.35,1.61,16,NA,NA,NA,NA,NA,NA
"149","149Nm","ctl","301","(3 week) 8. Written retell main ideas","NO - Not standardized",2.07,1.12,16,2.59,1.36,16,NA,NA,NA,NA,NA,NA
"150","150bau","ctl","302","Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.49,0.23,27,NA,NA,NA,NA,NA,NA
"150","150cm","1","303","Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.47,0.23,24,NA,NA,NA,NA,NA,NA
"150","150Gcm","2","304","Posttest Unrelated","NO - Not standardized",NA,NA,NA,0.5,0.27,24,NA,NA,NA,NA,NA,NA
"151","151NVGm","1","305","Retell Quality","NO - Not standardized",1.5,1.1,9,2.9,1.4,9,NA,NA,NA,NA,NA,NA
"151","151NVGm","1","306","Retell Main Idea","NO - Not standardized",0.5,0.4,9,0.9,0.5,9,NA,NA,NA,NA,NA,NA
"151","151NVGm","1","307","Multiple Choice","NO - Not standardized",5.2,1.8,9,6.2,2.2,9,NA,NA,NA,NA,NA,NA
"151","151NVGm","1","308","WJ Passage Comprehension","YES - standardized",79.2,7.5,9,78.7,8.7,9,NA,NA,NA,NA,NA,NA
"151","151Nm","ctl","309","Retell Quality","NO - Not standardized",1.6,1.2,9,4.2,1.3,9,NA,NA,NA,NA,NA,NA
"151","151Nm","ctl","310","Retell Main Idea","NO - Not standardized",0.6,0.6,9,1.4,0.4,9,NA,NA,NA,NA,NA,NA
"151","151Nm","ctl","311","Multiple Choice","NO - Not standardized",5.8,1.9,9,7.4,2.7,9,NA,NA,NA,NA,NA,NA
"151","151Nm","ctl","312","WJ Passage Comprehension","YES - standardized",70.3,17.4,9,75.6,14.5,9,NA,NA,NA,NA,NA,NA
"152","152Nm","1","313","GMRT-4 Comprehension","YES - standardized",19.74,10.05,38,28.37,6.9,38,NA,NA,NA,NA,NA,NA
"152","152m","ctl","314","GMRT-4 Comprehension","YES - standardized",23.16,8,38,26.5,7.28,38,NA,NA,NA,NA,NA,NA
"153","153Nm","1","315","GMRT-4 Comprehension","YES - standardized",17.78,8.27,23,28.09,7.35,23,NA,NA,NA,NA,NA,NA
"153","153m","ctl","316","GMRT-4 Comprehension","YES - standardized",18.61,7.02,23,22.61,6.45,23,NA,NA,NA,NA,NA,NA
