"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_delayed_int","sd_delayed_int","n_delayed_int","num_month_of_delayed_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_delayed_ctl","sd_delayed_ctl","n_delayed_ctl","num_month_of_delayed_ctl"
"127_8","127_8Nm","1","144","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","157","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","144","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","163","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","150","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","145","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","150","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","151","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","150","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","157","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","150","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","163","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","156","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","145","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","156","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","151","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","156","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","157","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","156","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","163","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","145","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","151","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","157","YES - standardized",NA,NA,NA,NA
"127_8","127_8Nm","1","162","GMRT = Gates–MacGinitie Reading Tests","YES - standardized",NA,NA,NA,NA,"127_8m","ctl","163","YES - standardized",NA,NA,NA,NA
"128","128NVcm","1","164","Informational text comprehension","NO - Not standardized",NA,NA,NA,NA,"128m","ctl","165","NO - Not standardized",NA,NA,NA,NA
"129_1","129_1Nm","1","166","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_1m","ctl","171","NO - Not standardized",NA,NA,NA,NA
"129_1","129_1Nm","1","167","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_1m","ctl","172","NO - Not standardized",NA,NA,NA,NA
"129_1","129_1Nm","1","168","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_1m","ctl","173","NO - Not standardized",NA,NA,NA,NA
"129_1","129_1Nm","1","169","Past achievement (pretest ONLY, BOY)","NO - Not standardized",NA,NA,NA,NA,"129_1m","ctl","174","NO - Not standardized",NA,NA,NA,NA
"129_1","129_1Nm","1","170","Literacy level (pretest ONLY, BOY)","NO - Not standardized",NA,NA,NA,NA,"129_1m","ctl","175","NO - Not standardized",NA,NA,NA,NA
"129_2","129_2Nm","1","176","text comprehension - total (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_2m","ctl","181","NO - Not standardized",NA,NA,NA,NA
"129_2","129_2Nm","1","177","text comprehension - story (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_2m","ctl","182","NO - Not standardized",NA,NA,NA,NA
"129_2","129_2Nm","1","178","text comprehension - informational text (April, EOY)","NO - Not standardized",NA,NA,NA,NA,"129_2m","ctl","183","NO - Not standardized",NA,NA,NA,NA
"129_2","129_2Nm","1","179","Past achievement (pretest ONLY, BOY)","NO - Not standardized",NA,NA,NA,NA,"129_2m","ctl","184","NO - Not standardized",NA,NA,NA,NA
"129_2","129_2Nm","1","180","Literacy level (pretest ONLY, BOY)","NO - Not standardized",NA,NA,NA,NA,"129_2m","ctl","185","NO - Not standardized",NA,NA,NA,NA
"130","130Nm","1","186","reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",NA,NA,NA,NA,"130bau","ctl","187","YES - standardized",NA,NA,NA,NA
"131","131Vm","1","188","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"131m","ctl","191","NO - Not standardized",NA,NA,NA,NA
"131","131Vm","2","189","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"131m","ctl","191","NO - Not standardized",NA,NA,NA,NA
"131","131Vm","3","190","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"131m","ctl","191","NO - Not standardized",NA,NA,NA,NA
"132","132Vm","1","192","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"132Tm","ctl","193","NO - Not standardized",NA,NA,NA,NA
"132","132VTm","2","194","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"132Tm","ctl","193","NO - Not standardized",NA,NA,NA,NA
"133","133NGc","1","195","Passage Comprehension (SRI)","YES - standardized",NA,NA,NA,NA,"133c","ctl","196","YES - standardized",NA,NA,NA,NA
"135","135NVGcm","1","199","Sentence Comprehension (SC)","YES - standardized",NA,NA,NA,NA,"135m","ctl","202","YES - standardized",NA,NA,NA,NA
"135","135NVGcm","1","200","Passage Comprehension (PCO)","YES - standardized",NA,NA,NA,NA,"135m","ctl","203","YES - standardized",NA,NA,NA,NA
"135","135NVGcm","1","201","* MAP composite","YES - standardized",201.17,7.17,20,12,"135m","ctl","204","YES - standardized",199.33,8.58,20,12
"136","136m","1","205","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"136m","ctl","208","NO - Not standardized",NA,NA,NA,NA
"136","136VTm","2","206","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"136m","ctl","208","NO - Not standardized",NA,NA,NA,NA
"136","136VTm","3","207","comprehension skill test","NO - Not standardized",NA,NA,NA,NA,"136m","ctl","208","NO - Not standardized",NA,NA,NA,NA
"137","137Nm","1","209","comprehension skill test","NO - Not standardized",7.8,2.6,11,2.5,"137m","ctl","211","NO - Not standardized",7.5,2.8,11,2.5
"137","137NVTm","2","210","comprehension skill test","NO - Not standardized",10.6,2.6,11,2.5,"137m","ctl","211","NO - Not standardized",7.5,2.8,11,2.5
"138","138Nm","1","212","PIRLS Read comprehension","NO - Not standardized",NA,NA,NA,NA,"138m","ctl","213","NO - Not standardized",NA,NA,NA,NA
"139","139NGTcm","1","214","GRADE Sentence Comprehension subtest","YES - standardized",NA,NA,NA,NA,"139cm","ctl","215","YES - standardized",NA,NA,NA,NA
"140_1","140_1Ncm","1","216","Reading Comprehension Tests","NO - Not standardized",NA,NA,NA,NA,"140_1bau","ctl","217","NO - Not standardized",NA,NA,NA,NA
"140_2","140_2Ncm","1","218","Reading Comprehension Tests","NO - Not standardized",NA,NA,NA,NA,"140_2bau","ctl","219","NO - Not standardized",NA,NA,NA,NA
"141","141NTm","1","220","Main Idea Test","YES - standardized",NA,NA,NA,NA,"141cm","ctl","228","YES - standardized",NA,NA,NA,NA
"141","141NTm","1","221","Passage Specific Test - Passage Production Subtest","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","229","NO - Not standardized",NA,NA,NA,NA
"141","141NTm","1","222","Passage Specific Test - Passage Identification Subtest","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","230","NO - Not standardized",NA,NA,NA,NA
"141","141NTm","1","223","Passage Specific Test - Total Score","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","231","NO - Not standardized",NA,NA,NA,NA
"141","141Nm","2","224","Main Idea Test","YES - standardized",NA,NA,NA,NA,"141cm","ctl","228","YES - standardized",NA,NA,NA,NA
"141","141Nm","2","225","Passage Specific Test - Passage Production Subtest","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","229","NO - Not standardized",NA,NA,NA,NA
"141","141Nm","2","226","Passage Specific Test - Passage Identification Subtest","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","230","NO - Not standardized",NA,NA,NA,NA
"141","141Nm","2","227","Passage Specific Test - Total Score","NO - Not standardized",NA,NA,NA,NA,"141cm","ctl","231","NO - Not standardized",NA,NA,NA,NA
"142_1","142_1Tm","1","232","reading comprehension","NO - Not standardized",6.64,3.11,11,1,"142_1m","ctl","235","NO - Not standardized",NA,2.35,9,1
"142_1","142_1Tm","2","233","reading comprehension","NO - Not standardized",5.13,2.48,9,1,"142_1m","ctl","235","NO - Not standardized",NA,2.35,9,1
"142_2","142_2Tm","1","236","reading comprehension","NO - Not standardized",7.33,1.75,18,1,"142_2m","ctl","239","NO - Not standardized",8.07,2.58,15,1
"142_2","142_2Tm","2","237","reading comprehension","NO - Not standardized",6.64,1.91,11,1,"142_2m","ctl","239","NO - Not standardized",8.07,2.58,15,1
"143","143Nm","1","240","General Comprehension Scores","NO - Not standardized",9,3.27,50.75,2,"143bau","ctl","243","NO - Not standardized",8.58,2.53,50.75,2
"143","143Nm","1","240","General Comprehension Scores","NO - Not standardized",9,3.27,50.75,2,"143bau","ctl","247","NO - Not standardized",8.81,3.61,50.75,2
"143","143NGTm","2","241","General Comprehension Scores","NO - Not standardized",10.71,2.36,50.75,2,"143bau","ctl","243","NO - Not standardized",8.58,2.53,50.75,2
"143","143NGTm","2","241","General Comprehension Scores","NO - Not standardized",10.71,2.36,50.75,2,"143bau","ctl","247","NO - Not standardized",8.81,3.61,50.75,2
"143","143Nm","1","244","General Comprehension Scores","NO - Not standardized",9.38,3.46,50.75,2,"143bau","ctl","243","NO - Not standardized",8.58,2.53,50.75,2
"143","143Nm","1","244","General Comprehension Scores","NO - Not standardized",9.38,3.46,50.75,2,"143bau","ctl","247","NO - Not standardized",8.81,3.61,50.75,2
"143","143GTm","2","245","General Comprehension Scores","NO - Not standardized",9.64,2.9,50.75,2,"143bau","ctl","243","NO - Not standardized",8.58,2.53,50.75,2
"143","143GTm","2","245","General Comprehension Scores","NO - Not standardized",9.64,2.9,50.75,2,"143bau","ctl","247","NO - Not standardized",8.81,3.61,50.75,2
"145","145NGm","1","257","reading comprehension achievement test (RCAT)","NO - Not standardized",NA,NA,NA,NA,"145bau","ctl","258","NO - Not standardized",NA,NA,NA,NA
"146","146NVGTm","1","259","Reading comprehension","YES - standardized",10.49,1.71,95,6,"146bau","ctl","262","YES - standardized",9.36,2.39,84,6
"146","146NVm","2","260","Reading comprehension","YES - standardized",10.12,1.95,146,6,"146bau","ctl","262","YES - standardized",9.36,2.39,84,6
"146","146m","3","261","Reading comprehension","YES - standardized",11.02,1.57,89,6,"146bau","ctl","262","YES - standardized",9.36,2.39,84,6
"147","147NVm","1","264","FLVT Reading comprehension","YES - standardized",50.61,9.55,117,2,"147m","ctl","263","YES - standardized",50.33,7.49,117,2
"147","147NVGTm","2","265","FLVT Reading comprehension","YES - standardized",53.73,9.19,117,2,"147m","ctl","263","YES - standardized",50.33,7.49,117,2
"148","148NVGm","1","267","FLVT 5-6 Reading Comprehension","YES - standardized",54.3,8.79,129,2,"148Nm","ctl","266","YES - standardized",50.53,8.87,133,2
"148","148NVGm","2","268","FLVT 5-6 Reading Comprehension","YES - standardized",52.56,10.25,126,2,"148Nm","ctl","266","YES - standardized",50.53,8.87,133,2
"148","148NGm","3","269","FLVT 5-6 Reading Comprehension","YES - standardized",51.65,7.43,146,2,"148Nm","ctl","266","YES - standardized",50.53,8.87,133,2
"149","149NGm","1","270","(immediate) 1. Main idea","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","286","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","271","(immediate) 2. Summary","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","287","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","272","(immediate) 3. Oral retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","288","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","273","(immediate) 4. Oral retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","289","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","274","(immediate) 5. Oral retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","290","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","275","(immediate) 6. Written retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","291","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","276","(immediate) 7. Written retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","292","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","277","(immediate) 8. Written retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","293","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","278","(3 week) 1. Main idea","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","294","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","279","(3 week) 2. Summary","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","295","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","280","(3 week) 3. Oral retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","296","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","281","(3 week) 4. Oral retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","297","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","282","(3 week) 5. Oral retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","298","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","283","(3 week) 6. Written retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","299","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","284","(3 week) 7. Written retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","300","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","285","(3 week) 8. Written retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","301","NO - Not standardized",NA,NA,NA,NA
"150","150cm","1","303","Posttest Unrelated","NO - Not standardized",NA,NA,NA,NA,"150bau","ctl","302","NO - Not standardized",NA,NA,NA,NA
"150","150Gcm","2","304","Posttest Unrelated","NO - Not standardized",NA,NA,NA,NA,"150bau","ctl","302","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","305","Retell Quality","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","309","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","306","Retell Main Idea","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","310","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","307","Multiple Choice","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","311","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","308","WJ Passage Comprehension","YES - standardized",NA,NA,NA,NA,"151Nm","ctl","312","YES - standardized",NA,NA,NA,NA
"152","152Nm","1","313","GMRT-4 Comprehension","YES - standardized",NA,NA,NA,NA,"152m","ctl","314","YES - standardized",NA,NA,NA,NA
"153","153Nm","1","315","GMRT-4 Comprehension","YES - standardized",NA,NA,NA,NA,"153m","ctl","316","YES - standardized",NA,NA,NA,NA
