"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl"
"101","101Ncm","1",2,"SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8.17,2.51,24,"101cm","ctl",3,"YES - standardized",8,2.24,23
"102","102c","1",4,"WJIII PC","YES - standardized",88.91,8.96,34,"102bau","ctl",8,"YES - standardized",87.19,6.97,37
"102","102c","1",5,"GMRT-RC","YES - standardized",88.86,12.3,34,"102bau","ctl",9,"YES - standardized",91.31,9.97,36
"102","102GTc","2",6,"WJIII PC","YES - standardized",86.79,6.96,38,"102bau","ctl",8,"YES - standardized",87.19,6.97,37
"102","102GTc","2",7,"GMRT-RC","YES - standardized",89.3,10.49,38,"102bau","ctl",9,"YES - standardized",91.31,9.97,36
"103","103c","2",10,"WRAT4 - Sentence comprehension","YES - standardized",98.33,10.6,18,"103bau","ctl",12,"YES - standardized",90.36,10.61,22
"103","103Tc","1",11,"WRAT4 - Sentence comprehension","YES - standardized",94.89,9.64,19,"103bau","ctl",12,"YES - standardized",90.36,10.61,22
"104","104NTm","1",13,"Summary test","NO - Not standardized",3.8,1.28,20,"104Gcm","ctl",17,"NO - Not standardized",3.95,1.46,20
"104","104NTm","1",14,"Passage test","NO - Not standardized",6.55,2.28,20,"104Gcm","ctl",18,"NO - Not standardized",5.8,2.34,20
"104","104Nm","2",15,"Summary test","NO - Not standardized",3.61,1.72,19,"104Gcm","ctl",17,"NO - Not standardized",3.95,1.46,20
"104","104Nm","2",16,"Passage test","NO - Not standardized",5.89,2.16,19,"104Gcm","ctl",18,"NO - Not standardized",5.8,2.34,20
"105","105Gm","1",19,"Comprehension Skill","NO - Not standardized",7.8,2.5,11,"105m","ctl",21,"NO - Not standardized",7.6,2.9,11
"105","105Gm","2",20,"Comprehension Skill","NO - Not standardized",7.8,1.9,11,"105m","ctl",21,"NO - Not standardized",7.6,2.9,11
"107","107Tm","1",25,"Post 1-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,"107bau","ctl",31,"NO - Not standardized",7.9,3.99,21
"107","107Tm","1",26,"Post 2-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,"107bau","ctl",32,"NO - Not standardized",7.9,3.99,21
"107","107Tm","2",27,"Post 1-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,"107bau","ctl",31,"NO - Not standardized",7.9,3.99,21
"107","107Tm","2",28,"Post 2-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,"107bau","ctl",32,"NO - Not standardized",7.9,3.99,21
"107","107m","3",29,"Post 1-Paragraph Summarization","NO - Not standardized",7,3.84,19,"107bau","ctl",31,"NO - Not standardized",7.9,3.99,21
"107","107m","3",30,"Post 2-Paragraph Summarization","NO - Not standardized",7,3.84,19,"107bau","ctl",32,"NO - Not standardized",7.9,3.99,21
"108","108Ncm","1",33,"GRADE Reading Comprehension","YES - standardized",NA,NA,NA,"108bau","ctl",34,"YES - standardized",NA,NA,NA
"109_1","109_1Ncm","1",35,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",21.11,9.49,605,"109_1bau","ctl",36,"YES - standardized",21.66,9.32,530
"109_2","109_2Ncm","1",37,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",23.59,8.05,593,"109_2bau","ctl",38,"YES - standardized",23.56,8.34,535
"110","110NVGm","1",39,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",21,3.35,25.3333333333333,"110bau","ctl",43,"YES - standardized",18.05,4.94,25.3333333333333
"110","110NVGm","1",40,"Reading  comprehension  test","NO - Not standardized",34.67,24.15,25.3333333333333,"110bau","ctl",44,"NO - Not standardized",30.81,28.05,25.3333333333333
"110","110m","2",41,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",17.13,7.93,25.3333333333333,"110bau","ctl",43,"YES - standardized",18.05,4.94,25.3333333333333
"110","110m","2",42,"Reading  comprehension  test","NO - Not standardized",13.84,13.17,25.3333333333333,"110bau","ctl",44,"NO - Not standardized",30.81,28.05,25.3333333333333
"111","111Nm","1",45,"Post RC test","NO - Not standardized",NA,NA,NA,"111bau","ctl",46,"NO - Not standardized",NA,NA,NA
"112","112Nm","1",47,"Reading Comprehension Test","YES - standardized",17.8,5.58,155,"112m","ctl",48,"YES - standardized",18.18,5.88,172
"113","113Nm","1",49,"Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,"113bau","ctl",53,"YES - standardized",NA,NA,NA
"113","113Nm","1",50,"Multiple text comprehension","NO - Not standardized",NA,NA,NA,"113bau","ctl",54,"NO - Not standardized",NA,NA,NA
"113","113m","2",51,"Gates Comprehension Test (level 4)","YES - standardized",NA,NA,NA,"113bau","ctl",53,"YES - standardized",NA,NA,NA
"113","113m","2",52,"Multiple text comprehension","NO - Not standardized",NA,NA,NA,"113bau","ctl",54,"NO - Not standardized",NA,NA,NA
"114","114Ncm","1",55,"Reading comprehension  Accuracy (from RAMA-the Israeli National Authority for Measurement and Evaluation (2015))","YES - standardized",NA,NA,NA,"114bau","ctl",56,"YES - standardized",NA,NA,NA
"115","115NVm","1",57,"RC  (SRT) pretest ONLY - Sentence Reading Test","YES - standardized",15.47,4.43,103,"115bau","ctl",61,"YES - standardized",16.46,5.28,113
"115","115NVm","1",58,"RC  (maze)","NO - Not standardized",NA,NA,NA,"115bau","ctl",62,"NO - Not standardized",NA,NA,NA
"115","115NVm","1",59,"RC (NLCT)","YES - standardized",NA,NA,NA,"115bau","ctl",63,"YES - standardized",NA,NA,NA
"115","115NVm","1",60,"RC (RGT)","NO - Not standardized",NA,NA,NA,"115bau","ctl",64,"NO - Not standardized",NA,NA,NA
"117","117Nm","1",80,"(T4) Multiple text comprehension","NO - Not standardized",3.13,1.1,148,"117m","ctl",82,"NO - Not standardized",2.19,0.78,213
"117","117Nm","1",81,"(T4) Passage comprehension","NO - Not standardized",0.31,0.18,148,"117m","ctl",83,"NO - Not standardized",0.15,0.15,213
"118","118Nm","1",84,"Passage comprehension (Pre/post)","NO - Not standardized",0.33,0.11,191,"118bau","ctl",88,"NO - Not standardized",0.32,0.049,76
"118","118Nm","1",85,"Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,"118bau","ctl",89,"YES - standardized",NA,NA,NA
"118","118Nm","2",86,"Passage comprehension (Pre/post)","NO - Not standardized",0.32,0.074,257,"118bau","ctl",88,"NO - Not standardized",0.32,0.049,76
"118","118Nm","2",87,"Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,"118bau","ctl",89,"YES - standardized",NA,NA,NA
"119","119NGcm","1",90,"Computerized Reading Comprehension","NO - Not standardized",0.53,0.14142135623731,50,"119bau","ctl",92,"NO - Not standardized",0.47,0.150996688705415,57
"119","119Ncm","2",91,"Computerized Reading Comprehension","NO - Not standardized",0.51,0.13856406460551,48,"119bau","ctl",92,"NO - Not standardized",0.47,0.150996688705415,57
"120","120NGm","1",93,"MAP RC","NO - Not standardized",171.92,15.81,319,"120bau","ctl",95,"NO - Not standardized",173.76,15.97,165
"120","120NGm","1",94,"*DIBLE (Combined - word reading fluency, oral reading fluency, and retell ability)","YES - standardized",189.37,101.26,425,"120bau","ctl",96,"YES - standardized",191.19,112.27,212
"121","121NGm","1",97,"Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,"121bau","ctl",99,"NO - Not standardized",NA,NA,NA
"121","121Nm","2",98,"Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,"121bau","ctl",99,"NO - Not standardized",NA,NA,NA
"123","123Nm","1",102,"History reading comprehension","NO - Not standardized",12.48,6.1,103,"123bau","ctl",103,"NO - Not standardized",12.14,6.1,100
"124","124Nm","1",108,"parallel reading comprehension tests","YES - standardized",50.3,9.89,168,"124bau","ctl",109,"YES - standardized",49.71,10.12,174
"125_1","125_1Nm","1",110,"Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_1m","ctl",113,"NO - Not standardized",NA,NA,NA
"125_1","125_1Nm","1",111,"Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_1m","ctl",114,"NO - Not standardized",NA,NA,NA
"125_1","125_1Nm","1",112,"Pretest ONLY. Standardized reading","YES - standardized",47.79,25.35,32,"125_1m","ctl",115,"YES - standardized",43.32,34.25,28
"125_2","125_2Nm","1",116,"Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_2m","ctl",119,"NO - Not standardized",NA,NA,NA
"125_2","125_2Nm","1",117,"Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_2m","ctl",120,"NO - Not standardized",NA,NA,NA
"125_2","125_2Nm","1",118,"Pretest ONLY. Standardized reading","YES - standardized",53.35,30.29,33,"125_2m","ctl",121,"YES - standardized",38.31,35.56,27
"125_3","125_3Nm","1",122,"Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_3m","ctl",125,"NO - Not standardized",NA,NA,NA
"125_3","125_3Nm","1",123,"Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_3m","ctl",126,"NO - Not standardized",NA,NA,NA
"125_3","125_3Nm","1",124,"Pretest ONLY. Standardized reading","YES - standardized",43.29,11.77,23,"125_3m","ctl",127,"YES - standardized",37.46,12.6,24
"125_4","125_4Nm","1",128,"Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_4m","ctl",131,"NO - Not standardized",NA,NA,NA
"125_4","125_4Nm","1",129,"Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_4m","ctl",132,"NO - Not standardized",NA,NA,NA
"125_4","125_4Nm","1",130,"Pretest ONLY. Standardized reading","YES - standardized",42.23,8.99,26,"125_4m","ctl",133,"YES - standardized",37.54,10.3,28
"126_1","126_1Ncm","1",134,"Gates-MacGinitie","YES - standardized",455.54,9.71,41,"126_1cm","ctl",136,"YES - standardized",450.7,3.69,22
"126_1","126_1Ncm","1",135,"Inferencing (Gates)","NO - Not standardized",8,0.46,41,"126_1cm","ctl",137,"NO - Not standardized",7.97,0.58,22
"126_2","126_2Ncm","1",138,"Gates-MacGinitie","YES - standardized",515.33,15.58,53,"126_2cm","ctl",140,"YES - standardized",509.13,1.36,40
"126_2","126_2Ncm","1",139,"Inferencing (Gates)","NO - Not standardized",8.77,1.53,53,"126_2cm","ctl",141,"NO - Not standardized",9.03,0.55,40
"127_6","127_6Nm","1",146,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",498.84,35.16,176,"127_6m","ctl",147,"YES - standardized",505.65,31.49,84
"127_6","127_6Nm","1",146,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",498.84,35.16,176,"127_6m","ctl",153,"YES - standardized",498.09,29.08,47
"127_6","127_6Nm","1",146,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",498.84,35.16,176,"127_6m","ctl",159,"YES - standardized",475.49,37.8,53
"127_6","127_6Nm","1",152,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",509.06,28.54,49,"127_6m","ctl",147,"YES - standardized",505.65,31.49,84
"127_6","127_6Nm","1",152,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",509.06,28.54,49,"127_6m","ctl",153,"YES - standardized",498.09,29.08,47
"127_6","127_6Nm","1",152,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",509.06,28.54,49,"127_6m","ctl",159,"YES - standardized",475.49,37.8,53
"127_6","127_6Nm","1",158,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",507.52,27.64,109,"127_6m","ctl",147,"YES - standardized",505.65,31.49,84
"127_6","127_6Nm","1",158,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",507.52,27.64,109,"127_6m","ctl",153,"YES - standardized",498.09,29.08,47
"127_6","127_6Nm","1",158,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",507.52,27.64,109,"127_6m","ctl",159,"YES - standardized",475.49,37.8,53
"127_7","127_7Nm","1",142,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",514.79,25.49,154,"127_7m","ctl",143,"YES - standardized",519.68,28.78,143
"127_7","127_7Nm","1",142,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",514.79,25.49,154,"127_7m","ctl",149,"YES - standardized",517.99,28.76,78
"127_7","127_7Nm","1",142,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",514.79,25.49,154,"127_7m","ctl",155,"YES - standardized",516.22,27.44,36
"127_7","127_7Nm","1",142,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",514.79,25.49,154,"127_7m","ctl",161,"YES - standardized",508.19,32.15,53
"127_7","127_7Nm","1",148,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",523.13,26.26,196,"127_7m","ctl",143,"YES - standardized",519.68,28.78,143
"127_7","127_7Nm","1",148,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",523.13,26.26,196,"127_7m","ctl",149,"YES - standardized",517.99,28.76,78
"127_7","127_7Nm","1",148,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",523.13,26.26,196,"127_7m","ctl",155,"YES - standardized",516.22,27.44,36
"127_7","127_7Nm","1",148,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",523.13,26.26,196,"127_7m","ctl",161,"YES - standardized",508.19,32.15,53
"127_7","127_7Nm","1",154,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",534.12,27.62,40,"127_7m","ctl",143,"YES - standardized",519.68,28.78,143
"127_7","127_7Nm","1",154,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",534.12,27.62,40,"127_7m","ctl",149,"YES - standardized",517.99,28.76,78
"127_7","127_7Nm","1",154,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",534.12,27.62,40,"127_7m","ctl",155,"YES - standardized",516.22,27.44,36
"127_7","127_7Nm","1",154,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",534.12,27.62,40,"127_7m","ctl",161,"YES - standardized",508.19,32.15,53
"127_7","127_7Nm","1",160,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",526.86,35.8,58,"127_7m","ctl",143,"YES - standardized",519.68,28.78,143
"127_7","127_7Nm","1",160,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",526.86,35.8,58,"127_7m","ctl",149,"YES - standardized",517.99,28.76,78
"127_7","127_7Nm","1",160,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",526.86,35.8,58,"127_7m","ctl",155,"YES - standardized",516.22,27.44,36
"127_7","127_7Nm","1",160,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",526.86,35.8,58,"127_7m","ctl",161,"YES - standardized",508.19,32.15,53
"127_8","127_8Nm","1",144,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",521.98,27.12,117,"127_8m","ctl",145,"YES - standardized",522.34,33.23,134
"127_8","127_8Nm","1",144,"GMRT = Gates–MacGinitie Reading Tests","YES - standardized",521.98,27.12,117,"127_8m","ctl",151,"YES - standardized",530.72,27.92,106
